Jeux,Description,Sortie,Test,Avis
Life is Strange - Episode 5 - Polarized,,20 octobre 2015,18/20,
Pokémon GO,"Dans Pokémon Go, les joueurs peuvent attraper, échanger et faire combattre leurs Pokémon en utilisant leur localisation GPS. L'expérience du jeu mobile transpose l'univers de ces monstres de poche dans la vraie vie en partant à la recherche de ces créatures et en combattant dans des arènes à l'image des jeux sortis sur consoles portables.",24 juillet 2016,18/20,13.7/20
Kritika : Le Chevalier Blanc,"Kritika : Le Chevalier Blanc est un action-RPG de style manga coréen. Vous pourrez alors incarner un personnage parmi les classes suivantes : Berserk, Chacrobate, Bretteur chthonien, Tueuse cramoisie, Valkyrie obscure, Mage de l'ombre ou Démone de sang.",25 novembre 2015,18/20,16.1/20
Yakuza Kiwami,"Yakuza Kiwami sur PS4 est un jeu d'action dans lequel vous incarnez Kazuma Kiryu fraîchement sorti de prison. Tout a changé : votre amie d'enfance a été enlevée, votre meilleur ami est devenu votre pire ennemi et dix milliards de yens manquent à l'appel. Sondez les profondeurs de la mafia japonaise avec l'aide de plus de 300 armes et objets pour découvrir la vérité. Frappez, interrogez, tuez et débloquez de nouvelles aptitudes en fonction de votre expérience.",29 août 2017,18/20,8.7/20
Hatsune Miku Project Diva Future Tone sur PS4,"Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme décliné en deux versions : Future Sound et Colorful Tone qui à elles deux proposent 220 chansons et 340 modules issus des opus sur PS3, PSP, Vita, 3DS et arcade.",10 janvier 2017,18/20,13.2/20
Adventures of Mana,"Remake de Final Fantasy Adventure, un classique des écuries Square Enix, Adventures of Mana est un J-RPG. Entre nostalgie et nouveautés (graphismes totalement repensés...), le jeu de l'éditeur japonais vous invite à redécouvrir les mystères de l'Arbre à Mana.",4 février 2016,18/20,16.9/20
Final Fantasy : Brave Exvius,"Final Fantasy : Brave Exvius est un RPG sur mobile. Le titre alterne entre trois phases de jeu distinctes : balades dans les villages, combats contre des vagues d'ennemis au tour par tour et exploration de donjons. Il comporte un très grand nombre de figures emblématiques de la série Final Fantasy à débloquer, tous jouables et comportant chacun leurs propres techniques et magies à développer en montant de niveau.",28 juin 2016,18/20,14.4/20
Fire Emblem Fates : Conquête sur 3DS,"Fire Emblem Fates est un jeu de rôle tactique sur 3DS. Il se décline en deux versions différentes : Héritage et Conquête, avec un troisième scénario baptisé Revelation disponible en DLC. Chacune de ces versions nous invite à rejoindre un camp différent pour autant de points de vue distincts sur l'histoire.",20 mai 2016,18/20,14.3/20
Valkyria Chronicles,"Sorti en 2008, Valkyria Chronicles s'offre une deuxième jeunesse dans une version remastérisée sur Playstation 4. L'histoire prend place dans une Europe imaginaire de 1935 où Gallia, nation libre, est entravée au milieu d'un conflit qui oppose deux grandes puissances. Le joueur suit les aventures d'un couple de héros, Welkin Gunther et Alicia Melchiott, qui mettent à profit leurs talents de stratèges afin de sauver un maximum de monde.",17 mai 2016,18/20,13/20
Full Throttle Remastered,"Full Throttle Remastered sur PC est la version remasterisée de Full Throttle, Point'n Click sorti initialement en 1995. Dans cette nouvelle mouture, vous aurez la possibilité d'alterner entre les graphismes originaux et ceux remaniés. De même que ses décors, les arrangements musicaux ont fait l'objet d'un rafraîchissement important.",18 avril 2017,18/20,17.6/20
Clash Royale,"Jeu multijoueur en temps réel mettant en scène les Royales, personnages cultes du tout aussi célèbre jeu de stratégie Clash of Clans. Clash Royale offre un gameplay à la croisée du MOBA et du jeu de cartes pour une variation de l'univers créé par Supercell.",2 mars 2016,18/20,17.1/20
Stardew Valley,"Avec votre petite faux, vous allez devoir entretenir la ferme familiale dont vous venez d'hériter. Agriculture, entretien des animaux, minage, voilà les principales activités qui vont occuper votre quotidien. Malheureusement, de nombreux monstres ainsi qu'une certaine organisation, portant le doux nom de Joja Corporation, vont vous compliquer la tâche.",26 février 2016,18/20,18.6/20
Hatsune Miku Project Diva Future Tone : Future Sound sur PS4,"Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme qui requiert toute l'adresse des joueurs. Cette version ""Future Sound"" propose de se frotter à 120 chansons des Project Diva sur PlayStation 3, PSP et Vita.",10 janvier 2017,18/20,16.9/20
Hatsune Miku Project Diva Future Tone : Colorful Tone sur PS4,"Project Diva Future Tone met en scène la chanteuse Hatsune Miku dans un jeu de rythme qui requiert toute l'adresse des joueurs. Cette version ""Colorful Tone"" propose d'écouter 100 chansons de la version arcade et de Project Mirai sur Nintendo 3DS.",10 janvier 2017,18/20,17.9/20
Final Fantasy XII : The Zodiac Age,Final Fantasy XII : The Zodiac Age est un RPG sur PC. Il s'agit d'un remastered de Final Fantasy XII. Cette nouvelle version présente une fonction de partage et de gestion de trophée. Les combats se veulent dynamiques avec en plus une grande liberté de mouvement.,11 juillet 2017,18/20,17.6/20
Shadow Tactics : Blades of the Shogun,"Shadow Tactics : Blades of the Shogun est un RTS tactique vous permettant de diriger une équipe de ninjas dont l'objectif est de tuer des cibles de grande envergure. L'histoire se déroule en 1615, lorsqu'un nouveau ninja monte au pouvoir au Japon et vise à ramener la paix dans le royaume. Dans son combat contre la rébellion, il recrute cinq spécialistes ayant des compétences extraordinaires pour l'assassinat, le sabotage et l'espionnage.",6 décembre 2016,18/20,
Mario Kart 8 Deluxe sur Switch,Mario Kart 8 sur Switch est un jeu de course coloré et délirant qui reprend les personnages phares des grandes licences Nintendo. Le joueur peut y affronter ses amis dans différents modes et types de coupes et a accès à 32 circuits aux environnements variés. Il est possible de jouer jusqu'à 12 simultanément en ligne et 4 en local.,28 avril 2017,18/20,
Assassin's Creed Origins,"Assassin's Creed Origins est un action RPG en monde ouvert incluant des mécaniques d'infiltration. Le titre vous fait visiter les terres mystérieuses de l'Egypte antique dans la peau de Bayek, nouveau héros d'un épisode nous dévoilant les origines de la création de la confrérie des assassins chère à la série phare d'Ubisoft.",27 octobre 2017,18/20,
Hatsune Miku Project Diva Future Tone DX sur PS4,"Hatsune Miku Project Diva Future Tone DX sur Playstation 4 est la version physique du titre original Hatsune Miku Project Diva Future Tone, mais avec des contenus supplémentaires tels que des nouvelles musiques et nouveaux modules. Elle est proposée en édition standard et en collector.",22 novembre 2017,18/20,
A Robot Named Fight !,"A Robot Named Fight ! est un metroidvania roguelike centré sur l'exploration et la collecte d'objets. Incarnez un robot solitaire chargé de stopper l'entité appelée Megabeast. Explorez des labyrinthes générés procéduralement, découvrez des améliorations et des artéfacts aléatoires, cherchez des secrets et explosez des créatures charnues dans ce metroidvania délicieusement gore.",7 septembre 2017,18/20,
Doki Doki Literature Club !,"Doki Doki Literature Club ! est un visual novel dans lequel vous faites parti d'un club de lecture. Chaque journée vous donne droit à des activités différentes avec vos amies : Soyori, Natsuki et Yuri.",22 septembre 2017,18/20,
Final Fantasy XV : Édition Royale,Final Fantasy XV : Édition Royale est une nouvelle version du jeu Final Fantasy XV sur PS4. Il donne accès au jeu de base ainsi qu'à tous les DLC issus du Season Pass et les mises à jour disponibles depuis la sortie du jeu.,6 mars 2018,18/20,10.2/20
Spider-Man sur PS4,"Spider-Man est un jeu d'action sur PlayStation 4. Le Tisseur est de retour pour le plaisir des joueurs qui pourront alterner phases d'exploration en voltigeant de building en building, phases d’infiltration et affrontements contre les super-vilains comme Le Caïd, Vulture, Electro, Mister Negative, etc.",7 septembre 2018,17/20,17.9/20
Pro Evolution Soccer 2019,"Pro Evolution Soccer 2019 est un jeu de sport développé et édité par Konami. Ce cru annuel met en avant une physique améliorée en ce qui concerne les trajectoires du ballon ainsi que des effets de fatigue plus réalistes. L'ajout de nouvelles licences permet également l'implémentation de davantage de stades, leagues et clubs au jeu. Cette édition verra enfin le grand retour de David Beckam, jouable en tant que légende.",30 août 2018,17/20,17.1/20
F1 2018,"F1 2018 est le jeu de course officiel du championnat du monde de Formule 1. Il propose tout le contenu officiel de la saison en cours, tel que les grands prix, les sponsors, les pilotes mais aussi les véhicules et les circuits.",24 août 2018,17/20,14.4/20
NBA 2K19,"NBA 2K19 est la mouture 2019 du célèbre jeu de basket. Celle-ci possède une particularité : elle symbolise les vingt ans de la franchise de 2K Games et Visual Concepts. A cette occasion, nous découvrirons une démo intitulée ""Le Prélude"" avant de retrouver l'expérience tant attendue avec ses différents modes de jeu et un Lebron James en première de couverture.",11 septembre 2018,17/20,15.1/20
Jurassic World : Evolution,"Jurassic World : Evolution est un jeu de gestion qui permet de créer son propre parc d'attractions sur la légendaire île d'Isla Nublar et les îles environnantes de l'archipel de la Muerte. Il est notamment possible de créer de nouvelles races de dinosaures, des attractions ainsi que des installations de confinement et de recherche.",12 juin 2018,17/20,18/20
Detroit : Become Human sur PS4,"Detroit : Become Human est un jeu d’aventure-action développé par Quantic Dream. Le joueur pourra incarner 3 personnages différents évoluant chacun de leur côté au sein d'histoires s'entrecoupant les unes les autres. L'action se déroule à Detroit, la ville abritant le principal site de production d'androïdes. La plupart d'entres eux se contentent de s'employer aux tâches pour lesquelles ils ont été créés, tandis que d'autres rêvent d'une autre vie... Leur présence ne fait toutefois pas l'unanimité, de nombreux humains s'inquiétant de leur futur dans ce monde machinique.",25 mai 2018,17/20,16.7/20
Overcooked 2,"Overcooked 2 est un jeu d'adresse développé par Team17 et Ghost Town Games. Tout comme son prédécesseur, le but est d'être la cuisine la plus efficace possible à plusieurs. Le rush saura mettre à mal les amitiés les plus précieuses et les nerfs, à rude épreuve.",7 août 2018,17/20,15.8/20
Wreckfest,"Jeu de course automobile, Next Car Game : Wreckfest propose au joueur de surfer sur le bitume, avec un vaste choix de voitures. Sa carrière dépendra autant de son garage que de ses compétences en matière de pilotage.",14 juin 2018,17/20,16.1/20
The Forest,"The Forest est un jeu d'aventure et d'horreur où le joueur dirige le rescapé d'un crash d'avion. Ce dernier doit survivre sur une île peuplée d'habitants agressifs, gérer ses rations, son abri, son feu de camp...",30 avril 2018,17/20,18.2/20
Into the Breach,Into the Breach est un jeu mêlant stratégie et gestion au tour par tour par les créateurs de FTL. Le joueur aura pour mission de sauver la terre d'une invasion de Kaiju aux commandes de Mecha. Il lui faudra évoluer sur un plateau composé d'une grille et venir à bout des monstres tout en évitant au maximum les dommages collatéraux. Le jeu intégrera une notion de voyage dans le temps. Tout comme FTL il s'agit d'un Rogue-like.,27 février 2018,17/20,16/20
Mario + The Lapins Crétins Kingdom Battle : Donkey Kong Adventure sur Switch,"Dans ce DLC de Mario + The Lapins Crétins Kingdom Battle, Donkey Kong, Lapin Cranky et Lapin Peach s’associent dans une nouvelle aventure qui se tient dans un univers inédit. Découpé en quatre zones distinctes, il réserve évidemment de nombreux affrontements stratégiques en plus de divers puzzles.",26 juin 2018,17/20,14.8/20
Ghost of a Tale,"Ghost of a Tale est un jeu d'action RPG dans lequel vous jouez Tilo , une souris et ménestrel envoyée dans une aventure périlleuse. Grâce à la furtivité et la ruse, vous serez en mesure d'explorer les secrets du donjon Heights.",13 mars 2018,17/20,16.3/20
Beat Saber,Beat Saber est un jeu de rythme en réalité virtuelle. Votre but est de suivre en rythme les battements de la musique représentés par des cubes. Ces derniers indiquent quelle main utiliser et dans quelle direction vous devrez porter votre coup. La bande-son ultra dynamique est composée spécialement pour vous permettre de frapper au bon moment.,1er mai 2018,17/20,15.5/20
Full Metal Furies,"Full Metal Furies est un jeu d'action en pixel art jouable en solo ou en coopération. Développé par Cellar Door Games, le jeu vous transpose dans un univers post-apocalyptique dans lequel les survivants devront se battre pour se réapproprier un monde contrôlé par des Titans.",17 janvier 2018,17/20,
Radiant Historia : Perfect Chronology sur 3DS,"Radiant Historia : Perfect Chronology est un remake complet sur Nintendo 3DS du RPG Radiant Historia, sorti à l'origine sur DS le 3 novembre 2010 au Japon puis le 22 février 2011 aux États-Unis. Nous y vivrons encore une fois l'affrontement entre le royaume de Granorg et le pays d'Alistel, alors que notre héros Stocke rentre en possession du grimoire White Chronicle, lui permettant de réécrire l'histoire. Cet artefact sera au cœur du scénario, avec la possibilité de jongler entre l'Histoire Standard et l'Histoire Alternative.",16 février 2018,17/20,
V-Rally 2,"V-Rally 2 sur PC est un jeu de courses proposant 16 voitures officielles du Championnat du Monde des rallyes et 10 voitures bonus à débloquer, jouables sur plus de 80 spéciales réparties dans 12 pays différents. Seul ou jusqu'à 4 sur le même écran, le soft dispose de quatre modes distincts, complétés par un éditeur et un générateur de circuits.",29 juin 1999,17/20,
Command & Conquer : Alerte Rouge 3,"La troisième guerre mondiale vient d'éclater opposant les forces Alliées, l'Empire du soleil levant et le bloc soviétique. Command & Conquer : Alerte Rouge 3 est un jeu de stratégie sur PC qui vous permet d'incarner l'un des trois camps et de profiter de leurs armes et avancées technologiques pour vous imposer à travers la campagne solo et surtout les modes multijoueurs.",30 octobre 2008,17/20,
Mortal Kombat X,"Mortal Kombat X est le dixième opus de la série de jeux de combats du même nom. Les joueurs s'affrontent au cours de batailles particulièrement gores. Ils peuvent choisir parmi trois déclinaisons des 24 personnages de base, utiliser des éléments du décors et s'achever avec des fatalities toujours plus exubérantes.",14 avril 2015,17/20,
Hamtaro : Joue avec les Ham-Hams sur DS,Hamtaro : Joue avec les Ham-Hams est un titre ludo-éducatif destiné aux enfants de 5 à 6 ans. Il propose une douzaine d'activités avec un possible paramétrage parental. L'objectif du jeune joueur est de remporter et de collectionner des images représentant l'univers et les personnages du dessin animé.,5 juin 2008,17/20,
Starcraft II : Legacy of the Void,"Starcraft II - Protoss : Legacy of the Void est un jeu de stratégie en temps réel sur PC au sein d'une galaxie où trois factions s'affrontent sans merci. D'un côté, les Terrans, descendants de colons humains. De l'autre, les Protoss, une race très avancée technologiquement et dotée de pouvoirs psioniques. Enfin, les Zergs, hordes de créatures diverses issues de mutations biologiques et regroupées en essaim. Cet opus comprend la campagne solo Protoss et tout le nécessaire pour jouer en multi.",10 novembre 2015,17/20,17.8/20
Black & White : L'Ile aux Créatures,L'Ile aux Créatures est une extension pour le jeu de stratégie Black & White sorti sur PC. Cet add-on ajoute de nouvelles possibilités pour votre créature et lui permet même d'élever une autre petite créature ou encore de se battre avec d'autres dans des arènes.,24 janvier 2002,17/20,15/20
SMITE,"Jeu d'action et de stratégie, SMITE reprend le système des MOBA, arènes de bataille en ligne multijoueur, mais en vue à la troisième personne. L'univers du jeu est fondé sur les mythologies (Egyptiennes, scandinaves, chinoises, etc) et vous propose donc d'incarner une déité. L'objectif du jeu est similaire à un MOBA classique : deux équipes s'affrontent afin de détruire la base ennemie.",25 mars 2014,17/20,16.4/20
Discworld II : Mortellement Votre !,"Malheur sur le Disque-Monde, suite à un attentat contre sa personne la Mort refuse de reprendre le travail et décide de prendre des vacances bien méritées ! Vous, Rincevent, sorcier raté accompagné de votre fidèle Bagage, êtes chargé de ramener la Faucheuse à la raison dans le point and click déjanté qu'est Discworld II sur PC.",1996,17/20,15.9/20
Dragon Quest Heroes : Slime Edition,"Dragon Quest Heroes est un beat'em all mâtiné de quêtes. Réunissant les plus grands héros de la saga, ce cross over transpose l'univers du RPG dans un jeu de combat de masse où les héros doivent empêcher un mystérieux sorcier de ressusciter un puissant dragon des ténèbres. Aux missions principales s'ajoutent une multitude de quêtes annexes qui mettent l'équipe aux prises avec le bestiaire symbolique de la franchise.",16 octobre 2015,17/20,17/20
Cuphead,"Cuphead est un jeu d'action 2D où vous incarnez Cuphead ou Mugman. Évoluez dans un univers inspiré par les cartoons des années 1930 et traversez d'étranges mondes pour obtenir de nouvelles armes, apprendre de nouvelles attaques et découvrir des secrets dans ce shoot'em up nerveux.",29 septembre 2017,17/20,15.6/20
Smash Court Tennis Pro Tournament sur PS2,"Smash Court Tennis Pro Tournament est un jeu de tennis sur Playstation 2. Vous pouvez affronter les plus grands joueurs mondiaux tels que André Agassi, Pete Sampras, Yevgeny Kafelnikov, Patrick Rafter, Martina Hingis, Anna Kournikova et beaucoup d'autres. Ce soft propose différents modes de jeu tel que Arcade, Défi, Exhibition, ou encore Doubles jusqu'à 4 via le multitap.",19 juin 2002,17/20,16.3/20
Teslagrad,"Teslagrad est un jeu de plates-formes et de puzzle dans lequel le joueur contrôle un garçon ayant des pouvoirs électromagnétiques. Il doit utiliser ses capacités pour monter au sommet d'une tour et vaincre ses ennemis, tout en récoltant les objets nécessaires à l'élargissement de sa gamme d'actions.",13 décembre 2013,17/20,18.3/20
Metal Gear Solid 4 : Guns of the Patriots sur PS3,"Quatrième épisode de la saga Metal Gear Solid, Guns of the Patriots reprend les mécanismes de ses prédécesseurs en mêlant action et infiltration. Répondant à toutes les questions laissées en suspens, cet ultime segment fait une fois de plus la part belle aux cinématiques hollywoodiennes mettant en avant un casting haut de gamme.",12 juin 2008,17/20,17.3/20
BroForce,Broforce est un jeu d'action / plates-formes sur PC. Vous aurez la possibilité d'incarner plusieurs personnages tout droit sortis des films d'action des années 80-90 avec toujours une bonne dose d'humour.,15 octobre 2015,17/20,17.3/20
Marvel vs. Capcom 2 : New Age of Heroes,Marvel vs. Capcom 2 : New Age of Heroes sur Playstation 3 est un remake du titre éponyme sorti en 2000 sur Dreamcast. C'est un jeu de combat dans lequel s'affrontent les héros de l'éditeur de jeux Capcom et les figures emblématiques Marvel. Plus d'une cinquantaine de personnages sont jouables dans cette suite qui conserve la formule de l'équipe de trois combattants pouvant intervenir à tout moment du combat.,21 juillet 2000,17/20,17/20
Final Fantasy IV,"Final Fantasy IV sur PC est un remake du quatrième volet de la saga, développé à l'origine sur Super NES. Par rapport à la version GBA, cet édition apporte un certain nombre de nouveautés intéressantes, comme les plans des donjons qui se dévoilent petit à petit, les capacités à distribuer aux personnages ou encore le mode de combat automatique. Le soft opère également un lifting graphique étonnant. Les cut-scenes sont même doublées pour la plupart.",4 septembre 2008,17/20,17.6/20
Jade Empire,"Jade Empire est un jeu de rôle/action de la gamme Xbox Originals qui se déroule en pleine Chine impériale. Vous y incarnez un ou une apprenti(e) en arts martiaux devant enquêter sur une mystérieuse invasion de morts-vivants qui investissent le monde. Choisissez bien votre coéquipier et frottez-vous à la quête principale du titre, qui vous réserve de nombreuses surprises.",22 avril 2005,17/20,14.2/20
Tekken 7,"Tekken 7 est le septième épisode de la série de jeux de combat éponyme. Cet épisode comprend d'anciens personnages de la série, mais également de nouvelles têtes telles que Katarina, Claudio et d'autres encore...",2 juin 2017,17/20,16.6/20
Dungeon Hunter 2,"Dungeon Hunter 2 est un jeu de rôle orienté action sur iPhone/iPod. Prenant place dans un univers cinq fois plus vaste que son prédécesseur, cet épisode introduit de nombreuses nouveautés comme des spécialisations de classe ou de la coopération à quatre.",9 décembre 2010,17/20,17.3/20
Return to Castle Wolfenstein,"Return to Castle Wolfenstein est un jeu d'action et de tir à la première personne sur PC. Vous incarnez B.J Blazkowicz, ranger décoré et recruté dans le cadre d'une mission périlleuse pour le compte des Bureaux des services secrets américains. Vous devez à cette occasion passer par Wolfenstein afin de trouver Himmler. Celui-ci se prend en effet pour la réincarnation d'un prince des ténèbres connu sous le nom de Heinrich et semble bien décidé à lever une armée de zombies à la solde d'Hitler.",7 décembre 2001,17/20,17.3/20
Kingdom Hearts 3D : Dream Drop Distance sur 3DS,"Kingdom Hearts 3D : Dream Drop Distance est un action-RPG sur 3DS. Sora et Riku arpentent de nouveaux mondes Disney pour affronter les Avale-rêves en s'alliant avec des créatures appelées Esprits. Celles-ci possèdent leur propre interface d'évolution et se renouvellent au fil de l'aventure. De nouveaux mécanismes de gameplay font leur apparition dans cet opus, comme la fluidité et l'altération du réel.",20 juillet 2012,17/20,15.9/20
The Wolf Among Us : Episode 2 - Smoke and Mirrors,"The Wolf Among Us : Episode 2 - Smoke and Mirrors sur PC est le deuxième épisode de l'adaptation du comics Fables. Dans le rôle du shérif Bigby Wolf, le joueur cherche à résoudre une affaire de meurtre dans Fabletown, une communauté fondée par des personnages de contes venus se réfugier au coeur de New York, dans le monde réel.",4 février 2014,17/20,16.8/20
Gorogoa,Gorogoa est une jeu d'aventure dans lequel il faut déplacer ou superposer quatre vignettes sur son écran. Le joueur change ainsi sa vision du monde et peut ainsi résoudre les énigmes qui lui sont proposées.,14 décembre 2017,17/20,
Castlevania : Lament of Innocence sur PS2,"Castlevania : Lament of Innocence est un jeu d'action et d'aventure à la troisième personne sur PS2. Cet opus raconte le premier affrontement entre la famille Belmont et le seigneur Dracula. De nouvelles compétences de combat sont au programme, avec une grande variété d'armes et de combinaisons magiques.",13 février 2004,17/20,
SimCity,"SimCity sur PC est l'un des premiers jeux conçus par Will Wright, connu pour Les Sims. Vous incarnez le maire d'une ville et devez rendre les habitants heureux afin que ceux-ci ne vous virent pas. Le premier mode de jeu vous fait partir de zéro, avec tous les bâtiments et infrastructures à construire. Dans le mode Catastrophe, vous prenez les commandes d'une cité déjà construite et devez faire face aux catastrophes naturelles, ainsi qu'à des émeutes et autres événements inattendus.",1989,17/20,18.3/20
Persona Q : Shadow of the Labyrinth sur 3DS,"Jeu de rôle (RPG) japonais, Persona Q : Shadow of the Labyrinth fait la jonction de deux univers emblématiques de la saga Persona, à savoir Persona 3 et Persona 4. Au total, 18 personnages jouables issus de ces deux opus et dont deux petits nouveaux amnésiques, Zen et Rei. Réunis et piégés dans une autre dimension, ils devront une fois de plus affronter les Shadows et lever le voile sur la mystérieuse tour de l'horloge...",28 novembre 2014,17/20,15.1/20
1112 Episode 03,,23 août 2011,17/20,17.7/20
Rick Dangerous,"Rick Dangerous commence ses aventures dans un temple d'Amazonie à la recherche d'une tribu perdue. Les autres niveaux le conduisent dans une pyramide égyptienne, un château nazi puis finalement dans une base secrète à Londres. Ce jeu d'action/plates-formes sur PC s'inspire fortement des péripéties d'Indiana Jones.",1988,17/20,13.2/20
MotoGP : Ultimate Racing Technology 3,MotoGP : Ultimate Racing Technology 3 sur PC est un jeu de courses vous mettant aux manettes de puissantes bécanes sur des circuits tirés des plus grandes compétitions mondiales. Le titre propose une conduite paramétrable entre l'arcade et les exigences très pointues de la simulation pure et dure.,9 septembre 2005,17/20,17.6/20
Devil May Cry,"Devil May Cry est un jeu d'action sorti sur PS2. Le joueur incarne Dante, un chasseur de monstres qui a la mission de nettoyer un château et ses environs. Tout un florilège d'armes sont à débloquer au fur et à mesure des salles à vider, des énigmes à résoudre et des boss à abattre. Epées, pistolets, lance-roquettes... Tant de manières différentes pour casser du démon avec style.",13 décembre 2001,17/20,15.1/20
Banjo-Kazooie : Nuts and Bolts sur 360,"Las de voir l'ours Banjo et la sorcière Grunty s'affronter depuis le premier épisode, le Dieu des jeux vidéo met au défi les deux ennemis. Celui qui remportera le challenge gagnera aussi la montagne Spiral. Ce jeu de plates-formes sur Xbox 360 permet de retrouver les personnages principaux de la série dans un titre qui donne pas mal de liberté au joueur pour avancer dans les niveaux. Une grosse part du gameplay est aussi consacrée à la construction libre de véhicules totalement fous.",14 novembre 2008,17/20,17/20
Trick Style,"Dans Trick Style sur Dreamcast, pilotez un hoverboard et frayez-vous un chemin à travers l'une des plus grandes mégalopoles de la planète : New York, Londres, Tokyo, etc. Style, vitesse et adresse sont les maîtres mots pour emmener l'un des 9 personnages au choix vers la victoire.",Octobre 1999,17/20,16.6/20
Trouble Witches Neo ! sur 360,"Trouble Witches Neo ! est un shoot'em up proposé en téléchargement sur le Xbox Live Arcade. Vous y incarnez une petite sorcière qui peut compter sur un familier capable de générer un bouclier magique. Il s'agit d'un manic shooter, c'est-à-dire que vous serez confronté à d'innombrables ennemis qui vous balanceront des nuées de boulettes mortelles.",27 avril 2011,17/20,16.3/20
Infinity Blade II sur iOS,Infinity Blade 2 sur iPhone/iPod est un jeu de rôle et d'action dont le système de combat repose sur le timing. Le joueur peut y faire progresser son personnage et ainsi parvenir à battre une fois pour toutes les gardiens du château qu'il doit arpenter sans relâche.,1er décembre 2011,17/20,18.7/20
Final Fantasy Tactics : The War of the Lions,"Final Fantasy Tactics : The War of the Lions est un RPG tactique sur iPhone. Le titre reprend l'univers si particulier d'Ivalice, présent dans Final Fantasy Tactics sur PS1 et Final Fantasy XII sur PS2. Le jeu permet une customisation de ses troupes particulièrement dense et riche en possibilités. Donnez un métier à vos personnages, et faites-les évoluer en combattant afin de gagner de l'expérience et ainsi partir en quête de votre destinée.",5 octobre 2007,17/20,17.2/20
Monument Valley : Forgotten Shores,Monument Valley : Forgotten Shores sur iOS permet de voyager à travers neuf nouveaux chapitres pour découvrir de nouvelles illusions d'optique.,12 novembre 2014,17/20,17.6/20
Swordigo sur iOS,,Mars 2012,17/20,18.3/20
F-Zero,"F-Zero sur Console Virtuelle Wii U est un jeu de course futuriste. Quatre navettes sont proposées, avec des caractéristiques différentes pour chacune d'entre elles. Pour être le meilleur sur les quinze circuits du jeu, il faut maîtriser l'inclinaison dans les virages et gérer le boost spécial des bolides. Il faut également veiller à ne pas percuter les autres pilotes et les barrières pour ne pas endommager le véhicule.",4 juin 1992,17/20,16/20
Splatoon,"Splatoon est un jeu de tir et d'action pour WiiU faisant la part belle au multijoueur. Pouvant accueillir jusqu'à 8 participants répartis en deux équipes, le jeu demande aux joueurs de s'affronter à l'aide de peinture et de transformations en calamars.",29 mai 2015,17/20,16/20
Animal Crossing : New Leaf - Welcome amiibo sur 3DS,"Jeu de gestion, Animal crossing : New Leaf permet au joueur d'incarner le maire de la petite bourgade d'un monde mignon et coloré. Celui-ci doit aider sa ville à se développer, décorer sa maison, visiter celles de ses amis et bien plus encore.",14 juin 2013,17/20,
Hector : Badge of Carnage - Episode 1 - We Negotiate With Terrorists,"Hector : Badge of Carnage - Episode 1 est un point'n click sur PC mettant en scène Hector, détective anglais contraint de répondre aux demandes d'un preneur d'otages. Entre énigmes tordues et humour salace, Hector va devoir sauver la ville de la perdition, que ça lui plaise ou pas.",17 juin 2010,17/20,
Sonic Advance 2 sur GBA,"Sonic Advance 2 est un jeu de plates-formes 2D sur Gameboy advance. Toujours aussi rapides, le courageux Sonic et ses amis peuvent empêcher les plans machiavéliques du Dr Eggman. Chaque personnage a ses propres capacités, et si vous voulez récupérer toutes les émeraudes du chaos, il faudra trouver toutes les médailles cachés dans les niveaux.",Mars 2003,17/20,
Castles in the Sky,,Octobre 2013,17/20,
Tekken Tag Tournament sur PS2,"Tekken Tag Tournament est un jeu de baston sur Playstation 2. Pénétrez dans l'arène des matchs par équipes pour une expérience de combat optimal, formez des équipes et affrontez vos adversaires dans des combats au rythme effréné. Le soft propose une trentaine de personnages que vous pouvez associer comme bon vous semble pour effectuer des combos dévastateurs. Tekken Tag Tournament est jouable à 4 via le multitap.",24 novembre 2000,17/20,
Castlevania,"Le jeu d'action Castlevania sur console virtuelle Wii U vous emmène tout droit dans le château de Dracula. Spectres, gobelins, démons, loups-garous et chauves-souris... ces créatures sont tapies dans chaque coin sombre. Plus vous vous enfoncez dans les ténèbres, plus elles sont dangereuses et terrifiantes. Explorez les cavernes pour trouver des armes, vous en aurez besoin car le maître des lieux a soif de sang et il ne vous fera pas de cadeau.",19 décembre 1988,17/20,16.8/20
Nights : Into Dreams...,"Nights : Into Dreams... est un jeu d'action/aventure sur PS2 qui vous raconte l'histoire de deux enfants, Elliot et Claris, victimes de leurs propres cauchemars. Nights apparaît alors pour les entraîner dans un monde onirique. Nights s'est rebellé contre son maître, Wizeman, car ce dernier tentait de s'approprier les âmes des rêveurs afin de contrôler Nightopia, le monde des rêves. Tous ensemble vont partir pour un voyage au terme duquel ils détruiront Wizeman.",1996,17/20,16/20
Le Cauchemar des Schtroumpfs sur GB,"Le Cauchemar des Schtroumpfs est un jeu de plates-formes sorti sur Gameboy. Une nuit de pleine lune, Gargamel, l'ennemi de toujours des Schtroumpfs, a jeté un sort terrible sur le village de nos amis. Tous les Schtroumpfs se retrouvent alors prisonniers de leurs pires cauchemars. Seul le Schtroumpf costaud est épargné et doit s'introduire dans les cauchemars pour sauver ses camarades.",5 février 1999,17/20,15/20
